Exercise,DifficultyLevel,TargetMuscleGroup,PrimaryEquipment,#PrimaryItems,SecondaryEquipment,#SecondaryItems,BodyRegion,ForceType,PrimaryExerciseClassification
Double Dumbbell Seesaw Sots Press,Intermediate,Shoulders,Dumbbell,2.0,,0.0,Upper Body,Push,Bodybuilding
Suspension Single Leg Standing Bent Knee Mid Row,Intermediate,Back,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Bar Circle Front Lever,Expert,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Calisthenics
Suspension Single Leg Standing Bent Knee Low Row,Intermediate,Back,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Balance
Single Arm Suspension Rotational Row,Intermediate,Back,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Unsorted*
Alternating Double Indian Club Outer Heart Shaped Swing,Intermediate,Shoulders,Indian Club,2.0,,0.0,Upper Body,Unsorted*,Mobility
Double Indian Club Parallel Swing,Intermediate,Shoulders,Indian Club,2.0,,0.0,Upper Body,Unsorted*,Mobility
Suspension Feet Elevated Decline Push Up,Intermediate,Chest,Suspension Trainer,1.0,,0.0,Upper Body,Push,Unsorted*
Bar Front Lever Pull to Inverted Hang,Expert,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Bar Full Back Lever,Expert,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Bar Full Front Lever,Expert,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Slider Atomic Push Up,Intermediate,Chest,Sliders,2.0,,0.0,Upper Body,Push,Unsorted*
Slider Reach Push Up,Intermediate,Chest,Sliders,1.0,,0.0,Upper Body,Push,Unsorted*
Bar Half Lay Back Lever,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Bar Half Lay Front Lever,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Bar Hanging Knee Raise,Intermediate,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Unsorted*
Bar Hanging Knees to Elbows,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Unsorted*
Bar Hanging Knees to Wrists,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Unsorted*
Bar Hanging Leg Raise,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Calisthenics
Bar Hanging Leg Raise Toes to Bar,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Calisthenics
Bar Hanging Oblique Knee Raise,Intermediate,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Unsorted*
Bar Inverted Hang,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Bar L Sit Hang Flutter Kicks,Intermediate,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Unsorted*
Single Arm Kettlebell Half Kneeling Ipsilateral Overhead Press,Intermediate,Shoulders,Kettlebell,1.0,,0.0,Upper Body,Push,Bodybuilding
Suspension Rotational Row,Intermediate,Back,Suspension Trainer,1.0,,0.0,Upper Body,Pull,Unsorted*
Slider Alternating Reach Push Up,Intermediate,Chest,Sliders,1.0,,0.0,Upper Body,Push,Unsorted*
Alternating Single Arm Landmine Z Press,Intermediate,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Bodybuilding
Single Arm Macebell Bull Whip,Intermediate,Shoulders,Macebell,1.0,,0.0,Upper Body,Pull,Ballistics
Bar Single Leg Out Back Lever,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Bar Single Leg Out Front Lever,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Double Kettlebell Bottoms Up Push Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Bar Straddle Back Lever,Expert,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Bar Straddle Front Lever,Expert,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Alternating Double Kettlebell Bottoms Up Push Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Alternating Double Kettlebell Bottoms Up Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Bar Tuck Back Lever,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Double Kettlebell Bottoms Up Seesaw Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Unsorted*
Bar Tuck Front Lever,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Unsorted*,Other,Calisthenics
Double Kettlebell Bottoms Up Half Kneeling Seesaw Overhead Press,Intermediate,Shoulders,Kettlebell,2.0,,0.0,Upper Body,Push,Bodybuilding
Ring Full Planche Push Up,Grand Master,Chest,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Calisthenics
Ring Straddle Planche Push Up,Grand Master,Chest,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Calisthenics
Bodyweight Fingertip Full Planche Push Up,Grand Master,Chest,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
Parallette Wall Supported Handstand Push Up,Expert,Shoulders,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Ring Grip Push Up,Expert,Chest,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Calisthenics
Single Arm Barbell Overhead Press,Expert,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Bodybuilding
Ring Shoulder Stand,Expert,Shoulders,Gymnastic Rings,2.0,,0.0,Upper Body,Other,Calisthenics
Ring Strap Handstand,Expert,Shoulders,Gymnastic Rings,2.0,,0.0,Upper Body,Other,Calisthenics
Ring Handstand,Expert,Shoulders,Gymnastic Rings,2.0,,0.0,Upper Body,Other,Calisthenics
Ring Strap Handstand Push Up,Expert,Shoulders,Gymnastic Rings,2.0,,0.0,Upper Body,Push,Calisthenics
Bodyweight Straddle Press Handstand,Expert,Shoulders,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
Bodyweight Alternating Step Up,Novice,Quadriceps,Bodyweight,1.0,Plyo Box,1.0,Lower Body,Push,Calisthenics
Bodyweight Step Up,Novice,Quadriceps,Bodyweight,1.0,Plyo Box,1.0,Lower Body,Push,Calisthenics
Macebell Order Cossack Squat,Novice,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Alternating Cossack Squat,Novice,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Foot Elevated Cossack Squat,Intermediate,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Bodyweight Pike Press Handstand,Expert,Shoulders,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
Parallette L Sit to Straddle Press Handstand,Expert,Shoulders,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Parallette L Sit to Pike Press Handstand,Expert,Shoulders,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
Heavy Sandbag Clean to Push Press,Intermediate,Shoulders,Heavy Sandbag,1.0,,0.0,Full Body,Push,Unsorted*
Ring Tuck Front Lever Pull Up,Expert,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Ring Advanced Tuck Front Lever Pull Up,Expert,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Double Kettlebell Suitcase Walking Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Clubbell Order March,Novice,Abdominals,Clubbell,2.0,,0.0,Midsection,Other,Balance
Single Arm Clubbell Order March,Novice,Abdominals,Clubbell,1.0,,0.0,Midsection,Other,Balance
Ring Straddle Front Lever Pull Up,Expert,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Single Arm Ring Push Up,Expert,Chest,Gymnastic Rings,1.0,,0.0,Upper Body,Push,Calisthenics
Ring L Sit Muscle Up,Expert,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Push & Pull,Calisthenics
Ring Strict Muscle Up,Expert,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Push & Pull,Calisthenics
Single Arm Kettlebell Suitcase Walking Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Front Rack Walking Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Overhead Walking Lunge,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Walking Lunge,Advanced,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Landmine Split Squat Isometric Shoulder Press,Expert,Shoulders,Landmine,1.0,,0.0,Upper Body,Push,Balance
Single Arm Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Clubbell,1.0,,0.0,Full Body,Other,Ballistics
Clubbell Inside Pendulum,Intermediate,Abdominals,Clubbell,1.0,,0.0,Full Body,Other,Ballistics
Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Clubbell,1.0,,0.0,Full Body,Other,Ballistics
Single Arm Clubbell Outside Circle,Intermediate,Abdominals,Clubbell,1.0,,0.0,Full Body,Other,Ballistics
Alternating Double Clubbell Outside Circle,Intermediate,Abdominals,Clubbell,2.0,,0.0,Full Body,Other,Ballistics
Double Clubbell Inside Circle to Outside Circle,Intermediate,Abdominals,Clubbell,2.0,,0.0,Full Body,Other,Ballistics
Single Arm Kettlebell Bottoms Up Front Rack Squat,Intermediate,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Kettlebell Romanian Deadlift,Beginner,Hamstrings,Kettlebell,1.0,,0.0,Lower Body,Pull,Bodybuilding
Barbell Snatch Balance,Advanced,Quadriceps,Barbell,1.0,,0.0,Full Body,Unsorted*,Olympic Weightlifting
Parallette Straddle Press to Handstand,Expert,Shoulders,Parallette Bars,2.0,,0.0,Upper Body,Unsorted*,Calisthenics
Double Dumbbell Suitcase March,Novice,Abdominals,Dumbbell,2.0,,0.0,Midsection,Other,Balance
Single Arm Dumbbell Suitcase March,Novice,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Balance
Double Dumbbell Front Rack March,Novice,Abdominals,Dumbbell,2.0,,0.0,Midsection,Other,Balance
Single Arm Dumbbell Front Rack March,Novice,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Balance
Double Dumbbell Overhead March,Intermediate,Abdominals,Dumbbell,2.0,,0.0,Midsection,Other,Balance
Single Arm Dumbbell Overhead March,Intermediate,Abdominals,Dumbbell,1.0,,0.0,Midsection,Other,Balance
Barbell Front Rack March,Novice,Abdominals,Barbell,1.0,,0.0,Midsection,Other,Balance
Barbell Back Rack March,Novice,Abdominals,Barbell,1.0,,0.0,Midsection,Other,Balance
Barbell Back Rack Alternating Forward Lunge,Intermediate,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Back Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Back Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Barbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Kettlebell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Kettlebell,1.0,,0.0,Lower Body,Pull,Bodybuilding
Single Arm Ring Eccentric Chin Up,Expert,Biceps,Gymnastic Rings,1.0,,0.0,Upper Body,Pull,Calisthenics
Parallette Freestanding Handstand,Expert,Shoulders,Parallette Bars,2.0,,0.0,Upper Body,Other,Calisthenics
Ring Gironda Sternum Chin Up,Expert,Biceps,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Single Arm Kettlebell Front Rack Contralateral Pistol Squat,Advanced,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Single Arm Kettlebell Front Rack Ipsilateral Pistol Squat,Advanced,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Pistol Squat,Expert,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Pistol Squat,Expert,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Kettlebell Horn Grip Pistol Squat,Advanced,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Single Arm Kettlebell Overhead Contralateral Pistol Squat,Expert,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Single Arm Kettlebell Overhead Ipsilateral Pistol Squat,Expert,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Single Arm Kettlebell Bottoms Up Overhead Contralateral Pistol Squat,Expert,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Pistol Squat,Expert,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Balance
Double Kettlebell L Sit,Advanced,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Calisthenics
Double Kettlebell L Sit Lift Over,Advanced,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Calisthenics
Single Arm Kettlebell Bottoms Up Windmill,Advanced,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Grinds
Single Arm Kettlebell Bottoms Up Bent Press,Advanced,Shoulders,Kettlebell,1.0,,0.0,Unsorted*,Push,Grinds
Single Arm Kettlebell Bottoms Up Half Kneeling Bent Press,Advanced,Shoulders,Kettlebell,1.0,,0.0,Unsorted*,Push,Grinds
Ring L Sit Archer Pull Up,Expert,Back,Gymnastic Rings,2.0,,0.0,Upper Body,Pull,Calisthenics
Double Kettlebell Overhead March,Intermediate,Abdominals,Kettlebell,2.0,,0.0,Midsection,Other,Balance
Single Arm Kettlebell Overhead March,Intermediate,Abdominals,Kettlebell,1.0,,0.0,Midsection,Other,Balance
Double Kettlebell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Suitcase Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Forward Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Suitcase Alternating Lateral Lunge,Novice,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Alternating Single Arm Dumbbell Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Forward Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Dumbbell Goblet Alternating Lateral Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Dumbbell Goblet Alternating Forward Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Dumbbell Goblet Alternating Reverse Lunge,Novice,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Clubbell Order Alternating Lateral Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Clubbell Order Alternating Forward Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Clubbell Order Alternating Reverse Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Clubbell Order Alternating Lateral Lunge,Novice,Quadriceps,Clubbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Clubbell Order Alternating Forward Lunge,Novice,Quadriceps,Clubbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Clubbell Order Alternating Reverse Lunge,Novice,Quadriceps,Clubbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Clubbell Order Alternating Lateral Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Clubbell Order Alternating Forward Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Clubbell Order Alternating Reverse Lunge,Novice,Quadriceps,Clubbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Landmine Low Hold Alternating Lateral Lunge,Novice,Quadriceps,Landmine,1.0,,0.0,Lower Body,Push,Bodybuilding
Landmine Goblet Alternating Lateral Lunge,Novice,Quadriceps,Landmine,1.0,,0.0,Lower Body,Push,Bodybuilding
Landmine Goblet Alternating Reverse Lunge,Novice,Quadriceps,Landmine,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Alternating Lateral Lunge,Novice,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Alternating Forward Lunge,Novice,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Alternating Reverse Lunge,Novice,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Forward Lunge,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Kettlebell,2.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Kettlebell Suitcase Alternating Forward Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Double Dumbbell Front Rack Cyclist Squat,Novice,Quadriceps,Dumbbell,2.0,Slant Board,1.0,Lower Body,Push,Bodybuilding
Double Dumbbell Overhead Cyclist Squat,Intermediate,Quadriceps,Dumbbell,2.0,Slant Board,1.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Front Rack Cyclist Squat,Novice,Quadriceps,Dumbbell,1.0,Slant Board,1.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Overhead Cyclist Squat,Intermediate,Quadriceps,Dumbbell,1.0,Slant Board,1.0,Lower Body,Push,Bodybuilding
Bodyweight Alternating Lateral Lunge,Beginner,Quadriceps,Bodyweight,1.0,,0.0,Lower Body,Push,Bodybuilding
Bodyweight Alternating Forward Lunge,Beginner,Quadriceps,Bodyweight,1.0,,0.0,Lower Body,Push,Bodybuilding
Bodyweight Alternating Reverse Lunge,Beginner,Quadriceps,Bodyweight,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Cyclist Squat,Novice,Quadriceps,Macebell,1.0,Slant Board,1.0,Lower Body,Push,Bodybuilding
Double Dumbbell Overhead Squat,Intermediate,Quadriceps,Dumbbell,2.0,,0.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Overhead Squat,Intermediate,Quadriceps,Dumbbell,1.0,,0.0,Lower Body,Push,Bodybuilding
Macebell Order Squat,Beginner,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Unsorted*
Double Dumbbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,2.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Double Dumbbell Overhead Bulgarian Split Squat,Advanced,Quadriceps,Dumbbell,2.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Overhead Ipsilateral Bulgarian Split Squat,Advanced,Quadriceps,Dumbbell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,1.0,Bench (Flat),1.0,Lower Body,Push,Bodybuilding
Clubbell Order March,Novice,Abdominals,Clubbell,1.0,,0.0,Midsection,Other,Balance
Macebell Order Walking Lunge,Novice,Quadriceps,Macebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Suspension Alternating Lateral Lunge,Beginner,Quadriceps,Suspension Trainer,1.0,,0.0,Lower Body,Push,Bodybuilding
Bulgarian Bag Back Rack Alternating Lateral Lunge,Novice,Quadriceps,Bulgarian Bag,1.0,,0.0,Lower Body,Push,Bodybuilding
Bulgarian Bag Back Rack Walking Lunge,Novice,Quadriceps,Bulgarian Bag,1.0,,0.0,Lower Body,Push,Bodybuilding
Bulgarian Bag Back Rack Alternating Forward Lunge,Novice,Quadriceps,Bulgarian Bag,1.0,,0.0,Lower Body,Push,Bodybuilding
Heavy Sandbag Bear Hug Alternating Lateral Lunge,Intermediate,Quadriceps,Heavy Sandbag,1.0,,0.0,Lower Body,Push,Unsorted*
Heavy Sandbag Shoulder Alternating Lateral Lunge,Intermediate,Quadriceps,Heavy Sandbag,1.0,,0.0,Lower Body,Push,Unsorted*
Sandbag Front Rack Alternating Lateral Lunge,Novice,Quadriceps,Sandbag,1.0,,0.0,Lower Body,Push,Bodybuilding
Sandbag Front Rack Walking Lunge,Novice,Quadriceps,Sandbag,1.0,,0.0,Lower Body,Push,Bodybuilding
Sandbag Front Rack Alternating Forward Lunge,Novice,Quadriceps,Sandbag,1.0,,0.0,Lower Body,Push,Bodybuilding
Sandbag Front Rack Alternating Reverse Lunge,Novice,Quadriceps,Sandbag,1.0,,0.0,Lower Body,Push,Bodybuilding
Plate Overhead Walking Lunge,Intermediate,Quadriceps,Weight Plate,1.0,,0.0,Lower Body,Push,Bodybuilding
Plate Overhead Alternating Lateral Lunge,Intermediate,Quadriceps,Weight Plate,1.0,,0.0,Lower Body,Push,Bodybuilding
Plate Overhead Alternating Forward Lunge,Intermediate,Quadriceps,Weight Plate,1.0,,0.0,Lower Body,Push,Bodybuilding
Plate Overhead Alternating Reverse Lunge,Intermediate,Quadriceps,Weight Plate,1.0,,0.0,Lower Body,Push,Bodybuilding
Barbell Single Leg Standing Bent Knee Overhead Press,Expert,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Balance
Single Arm Barbell Single Leg Standing Bent Knee Contralateral Overhead Press,Expert,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Balance
Bodyweight Tuck Planche,Advanced,Abdominals,Bodyweight,1.0,,0.0,Midsection,Other,Calisthenics
Single Arm Barbell Single Leg Standing Bent Knee Ipsilateral Overhead Press,Expert,Shoulders,Barbell,1.0,,0.0,Upper Body,Push,Balance
Double Kettlebell Push Up to L Sit,Expert,Chest,Kettlebell,2.0,,0.0,Upper Body,Push,Calisthenics
Bar L Sit Hang,Intermediate,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Calisthenics
Ring L Sit Hang,Intermediate,Abdominals,Gymnastic Rings,2.0,,0.0,Midsection,Other,Calisthenics
Single Arm Bar L Sit Hang,Advanced,Abdominals,Pull Up Bar,1.0,,0.0,Midsection,Other,Calisthenics
Single Arm Ring L Sit Hang,Advanced,Abdominals,Gymnastic Rings,1.0,,0.0,Midsection,Other,Calisthenics
Single Arm Kettlebell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Kettlebell,1.0,,0.0,Lower Body,Push,Bodybuilding
Parallette L Sit Flutter Kicks,Advanced,Abdominals,Parallette Bars,2.0,,0.0,Midsection,Other,Calisthenics
Bodyweight Single Arm Contralateral Single Leg Push Up,Expert,Chest,Bodyweight,1.0,,0.0,Upper Body,Push,Calisthenics
Parallette Tuck Planche Push Up,Expert,Chest,Parallette Bars,2.0,,0.0,Upper Body,Push,Calisthenics
